Bandit,Reward,Algorithm
2.0,2.1630604245257086,ThompsonSampling
2.0,3.075445192147659,ThompsonSampling
2.0,2.1607237952305915,ThompsonSampling
2.0,1.6841571224662897,ThompsonSampling
2.0,1.5547552037518717,ThompsonSampling
2.0,2.9425788872506446,ThompsonSampling
2.0,3.130619815689247,ThompsonSampling
2.0,3.120010638483879,ThompsonSampling
2.0,3.141039605609178,ThompsonSampling
2.0,3.0068513394075533,ThompsonSampling
2.0,-0.3358489579850703,ThompsonSampling
2.0,2.1890067846086008,ThompsonSampling
2.0,4.90302831750669,ThompsonSampling
2.0,3.388711971984034,ThompsonSampling
2.0,3.4068386060383578,ThompsonSampling
2.0,2.0594666916346704,ThompsonSampling
2.0,0.9081513766178428,ThompsonSampling
2.0,3.1338862960270513,ThompsonSampling
2.0,1.9580524954982035,ThompsonSampling
2.0,1.5939269581240503,ThompsonSampling
2.0,5.337331823545435,ThompsonSampling
2.0,4.153018567948578,ThompsonSampling
2.0,4.319537512974589,ThompsonSampling
2.0,3.0359201616576597,ThompsonSampling
2.0,1.6924952493222858,ThompsonSampling
2.0,3.328919681278708,ThompsonSampling
2.0,3.5928150757415716,ThompsonSampling
2.0,0.9038225028521731,ThompsonSampling
2.0,2.6180586845386036,ThompsonSampling
2.0,1.728631323901481,ThompsonSampling
2.0,2.579600040078906,ThompsonSampling
2.0,2.0655823350731923,ThompsonSampling
2.0,1.97325021609414,ThompsonSampling
2.0,3.13641080620283,ThompsonSampling
2.0,3.5632465442130528,ThompsonSampling
2.0,2.97766923169008,ThompsonSampling
2.0,1.9680894701474574,ThompsonSampling
2.0,4.964650890748557,ThompsonSampling
2.0,2.0550778829830296,ThompsonSampling
2.0,3.0423425381791738,ThompsonSampling
2.0,3.681213730130139,ThompsonSampling
2.0,4.502870420010521,ThompsonSampling
2.0,2.0899424756717786,ThompsonSampling
2.0,2.824499640371374,ThompsonSampling
2.0,3.9633430955170796,ThompsonSampling
2.0,3.4748075913873855,ThompsonSampling
2.0,2.348435938337671,ThompsonSampling
2.0,3.545891523065057,ThompsonSampling
2.0,3.987176791146775,ThompsonSampling
2.0,2.6307145943396564,ThompsonSampling
2.0,2.209268806192747,ThompsonSampling
2.0,3.82120856592431,ThompsonSampling
2.0,2.3540955765804323,ThompsonSampling
2.0,3.401686817959735,ThompsonSampling
2.0,3.3835365236668484,ThompsonSampling
2.0,1.583666341104255,ThompsonSampling
2.0,4.495270194205497,ThompsonSampling
2.0,2.6132951421680715,ThompsonSampling
2.0,3.2279285014372596,ThompsonSampling
2.0,2.1198879021338333,ThompsonSampling
2.0,3.350184319379229,ThompsonSampling
2.0,2.4297484363365847,ThompsonSampling
2.0,5.5374506483488375,ThompsonSampling
2.0,1.7511699404547956,ThompsonSampling
2.0,3.4221498830158126,ThompsonSampling
2.0,4.054853781597247,ThompsonSampling
2.0,4.125308655135937,ThompsonSampling
2.0,2.011981358753503,ThompsonSampling
2.0,0.8777912107858055,ThompsonSampling
2.0,2.9980462416083205,ThompsonSampling
2.0,0.6975952917287347,ThompsonSampling
2.0,0.7157104073551199,ThompsonSampling
2.0,3.3908511854160333,ThompsonSampling
2.0,3.4538061135006264,ThompsonSampling
2.0,3.267064975931449,ThompsonSampling
2.0,3.8216800283351313,ThompsonSampling
2.0,1.9705664136427568,ThompsonSampling
2.0,3.861524516984569,ThompsonSampling
2.0,3.473302972457987,ThompsonSampling
2.0,2.796817232054112,ThompsonSampling
2.0,3.2100133126252746,ThompsonSampling
2.0,2.727809665116123,ThompsonSampling
2.0,3.398090829918826,ThompsonSampling
2.0,2.4855392865710626,ThompsonSampling
2.0,3.3168944818746087,ThompsonSampling
2.0,2.389213916096506,ThompsonSampling
2.0,2.892787023668875,ThompsonSampling
2.0,2.555121715906556,ThompsonSampling
2.0,3.7842405835469624,ThompsonSampling
2.0,2.7487010032781747,ThompsonSampling
2.0,3.049409428239977,ThompsonSampling
2.0,1.585170974307271,ThompsonSampling
2.0,2.9330258186103704,ThompsonSampling
2.0,1.1464279782239206,ThompsonSampling
2.0,2.840934821591126,ThompsonSampling
2.0,2.0903417121818513,ThompsonSampling
2.0,3.088846195003576,ThompsonSampling
2.0,4.651347917661918,ThompsonSampling
2.0,4.079818244145756,ThompsonSampling
2.0,2.5705951713860027,ThompsonSampling
2.0,4.5548019425976785,ThompsonSampling
2.0,3.2362092606028567,ThompsonSampling
2.0,4.063109973724407,ThompsonSampling
2.0,3.39726584724723,ThompsonSampling
2.0,4.427435971848719,ThompsonSampling
2.0,4.622799955305023,ThompsonSampling
2.0,4.6014883542957,ThompsonSampling
2.0,3.5305386479451464,ThompsonSampling
2.0,3.257773607967627,ThompsonSampling
2.0,2.2430873127460718,ThompsonSampling
2.0,3.587463660665847,ThompsonSampling
2.0,2.969613583010768,ThompsonSampling
